LP001104,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
LP001105,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y
LP001106,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y
LP001107,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
LP001108,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y
LP001109,Female,No,0,Graduate,No,3410,0,88,,1,Urban,Y
LP001110,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y
LP001111,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
LP001112,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N
LP001113,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
LP001114,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y
LP001115,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y
LP001116,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N
LP001117,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
LP001118,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N
LP001119,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
LP001120,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
LP001121,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N
LP001122,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y
LP001123,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
LP001124,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y
LP001125,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y
LP001126,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N
LP001127,Male,Yes,1,Graduate,No,4945,0,,360,0,Rural,N
LP001128,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N
LP001129,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
LP001130,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N
LP001131,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y
LP001132,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y
LP001133,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N
LP001134,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y
LP001135,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
LP001136,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y
LP001137,Male,Yes,3+,Not Graduate,No,4755,0,95,,0,Semiurban,N
LP001138,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y
LP001139,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N
LP001140,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N
LP001141,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N
LP001142,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,N
LP001143,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,,Semiurban,Y
LP001144,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y
LP001145,Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,Y
LP001146,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N
LP001147,Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban,N
LP001148,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Y
LP001149,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y
LP001150,Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban,Y
LP001151,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y
LP001152,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y
LP001153,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Y
LP001154,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y
LP001155,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y
LP001156,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y
LP001157,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y
LP001158,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y
LP001159,Male,No,0,Graduate,,6782,0,,360,,Urban,N
LP001160,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y
LP001161,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Y
LP001162,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y
LP001163,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y
LP001164,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y
LP001165,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y
LP001166,Male,Yes,,Graduate,No,13650,0,,360,1,Urban,Y
LP001167,Male,Yes,0,Graduate,No,4652,3583,,360,1,Semiurban,Y
LP001168,Male,,,Graduate,No,3816,754,160,360,1,Urban,Y
LP001169,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y
LP001170,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y
LP001171,Male,No,0,Not Graduate,,7333,0,120,360,1,Rural,N
LP001172,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,N
LP001173,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,Y
LP001174,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y
LP001175,Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,Y
LP001176,Male,Yes,0,Not Graduate,No,3572,4114,152,,0,Rural,N
LP001177,Female,No,1,Graduate,Yes,7451,0,,360,1,Semiurban,Y
LP001178,Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,Y
LP001179,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Y
LP001180,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y
LP001181,Male,Yes,1,Graduate,No,2214,1398,85,360,,Urban,Y
LP001182,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,N
LP001183,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y
LP001184,Male,Yes,,Graduate,No,5667,2667,180,360,1,Rural,Y
LP001185,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y
LP001186,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Y
LP001187,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y
LP001188,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y
LP001189,Female,No,0,Graduate,No,3692,0,93,360,,Rural,Y
LP001190,,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,Y
LP001191,Male,No,0,Graduate,No,3865,1640,,360,1,Rural,Y
LP001192,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N
LP001193,Male,Yes,0,Graduate,No,6080,2569,182,360,,Rural,N
LP001194,Male,No,0,Graduate,Yes,20166,0,650,480,,Urban,Y
LP001195,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y
LP001196,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y
LP001197,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y
LP001198,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y
LP001199,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,Semiurban,N
LP001200,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N
LP001201,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y
LP001202,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N
LP001203,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N
LP001204,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,N
LP001205,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y
LP001206,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y
LP001207,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y
LP001208,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y
LP001209,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y
LP001210,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y
LP001211,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y
LP001212,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N
LP001213,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y
LP001214,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N
LP001215,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y
LP001216,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N
LP001217,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N
LP001218,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y
LP001219,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,Y
LP001220,Male,Yes,1,Graduate,No,6000,0,160,360,,Rural,Y
LP001221,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y
LP001222,Male,No,0,Graduate,,2980,2083,120,360,1,Rural,Y
LP001223,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y
LP001224,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y
LP001225,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N
LP001226,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N
LP001227,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y
LP001228,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y
LP001229,Male,Yes,0,Graduate,No,3707,3166,182,,1,Rural,Y
LP001230,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N
LP001231,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y
LP001232,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N
LP001233,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y
LP001234,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,Y
LP001235,,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,Y
LP001236,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,N
LP001237,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y
LP001238,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N
LP001239,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y
LP001240,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y
LP001241,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,N
LP001242,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y
LP001243,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N
LP001244,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N
LP001245,Male,No,0,Graduate,No,1916,5063,67,360,,Rural,N
LP001246,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y
LP001247,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N
LP001248,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y
LP001249,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y
LP001250,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N
LP001251,Male,Yes,0,Graduate,No,2383,2138,58,360,,Rural,Y
LP001252,,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y
LP001253,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y
LP001254,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y
LP001255,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N
LP001256,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N
LP001257,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N
LP001258,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y
LP001259,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y
LP001260,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y
LP001261,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y
LP001262,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N
LP001263,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N
LP001264,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y
LP001265,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y
LP001266,Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,Y
LP001267,Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,Y
LP001268,Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,Y
LP001269,Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,Y
LP001270,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N
LP001271,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N
LP001272,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y
LP001273,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y
LP001274,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y
LP001275,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y
LP001276,Male,Yes,3+,Not Graduate,No,3992,0,,180,1,Urban,N
LP001277,Male,Yes,3+,Not Graduate,No,3992,0,,180,1,Urban,N
LP001278,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y
LP001279,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y
LP001280,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
LP001281,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
LP001282,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y
LP001283,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y
LP001284,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y
LP001285,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y
LP001286,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y
LP001287,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y
LP001288,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y
LP001289,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N
LP001290,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N
LP001291,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,N
LP001292,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y
LP001293,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Y
LP001294,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y
LP001295,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,Y
LP001296,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N
LP001297,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y
LP001298,Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,N
LP001299,Female,Yes,2,Graduate,No,4283,2383,127,360,,Semiurban,Y
LP001300,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N
LP001301,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y
LP001302,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y
LP001303,Male,Yes,0,Graduate,No,7578,1010,175,,1,Semiurban,Y
LP001304,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y
LP001305,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,N
LP001306,Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,Urban,N
LP001307,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Y
LP001308,Male,,,Graduate,No,4758,0,158,480,1,Semiurban,Y
LP001309,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y
LP001310,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y
LP001311,Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,Y
LP001312,Male,No,0,Not Graduate,No,3189,2598,120,,1,Rural,Y
LP001313,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y
LP001314,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y
LP001315,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y
LP001316,Male,Yes,0,Graduate,,5746,0,255,360,,Urban,N
LP001317,Female,No,0,Graduate,Yes,3463,0,122,360,,Urban,Y
LP001318,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y
LP001319,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y
LP001320,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Y
LP001321,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N
LP001322,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y
LP001323,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Y
LP001324,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y
LP001325,Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,N
LP001326,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Y
LP001327,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Y
LP001328,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Y
LP001329,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Y
LP001330,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,Semiurban,N
LP001331,Female,No,2,Graduate,No,3427,0,138,360,1,Urban,N
LP001332,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,Y
LP001333,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Y
LP001334,Male,No,0,Graduate,Yes,16250,0,192,360,0,Urban,N
LP001335,Female,No,3+,Graduate,No,3083,0,255,360,1,Rural,Y
LP001336,Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,N
LP001337,Male,Yes,3+,Graduate,No,5250,0,94,360,1,Urban,N
LP001338,Male,Yes,0,Graduate,No,14683,2100,304,360,1,Rural,N
LP001339,Male,Yes,3+,Not Graduate,No,4931,0,128,360,,Semiurban,N
LP001340,Male,Yes,1,Graduate,No,6083,4250,330,360,,Urban,Y
LP001341,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,Y
LP001342,Female,No,1,Graduate,No,3481,0,155,36,1,Semiurban,N
LP001343,Female,No,0,Graduate,No,7200,0,120,360,1,Rural,Y
LP001344,Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,Y
LP001345,Male,No,0,Graduate,No,4095,3447,151,360,1,Rural,Y
LP001346,Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,Y
LP001347,Male,Yes,3+,Graduate,No,4333,1811,160,360,0,Urban,Y
LP001348,Female,No,0,Graduate,,3418,0,135,360,1,Rural,N
LP001349,Female,No,1,Graduate,No,2876,1560,90,360,1,Urban,Y
LP001350,Female,No,0,Graduate,No,3237,0,30,360,1,Urban,Y
LP001351,Male,Yes,0,Graduate,No,11146,0,136,360,1,Urban,Y
LP001352,Male,No,0,Graduate,No,2833,1857,126,360,1,Rural,Y
